epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,4056.23,1.35414,1.05799,1.5123,0.65324,0.60099,0.64369,0.29792,1.90526,1.31947,2.16395,0.0007724,0.0007724,0.0007724
126,4088.59,1.3284,0.99246,1.4997,0.68681,0.60542,0.66399,0.32559,1.87627,1.25663,2.17343,0.0007625,0.0007625,0.0007625
127,4120.91,1.30416,1.01596,1.49803,0.65913,0.59509,0.66173,0.33503,1.84791,1.30613,2.12136,0.0007526,0.0007526,0.0007526
128,4153.29,1.30783,1.04818,1.49265,0.68182,0.59509,0.64571,0.33804,1.79633,1.27727,2.07442,0.0007427,0.0007427,0.0007427
129,4185.59,1.28613,1.01743,1.44838,0.70176,0.56299,0.64818,0.31792,1.88892,1.24858,2.15019,0.0007328,0.0007328,0.0007328
130,4217.96,1.27241,0.98873,1.48074,0.65251,0.58753,0.61644,0.31576,1.90128,1.41653,2.21072,0.0007229,0.0007229,0.0007229
131,4250.34,1.31104,0.99742,1.48059,0.70881,0.55255,0.64862,0.3486,1.78242,1.25658,2.11449,0.000713,0.000713,0.000713
132,4282.99,1.31486,1.03062,1.49171,0.66944,0.6088,0.64888,0.33901,1.79974,1.26735,2.10855,0.0007031,0.0007031,0.0007031
133,4315.34,1.24514,0.96271,1.4199,0.64048,0.53555,0.62819,0.31966,1.87491,1.33058,2.12747,0.0006932,0.0006932,0.0006932
134,4347.76,1.2702,0.95578,1.4831,0.65466,0.60123,0.64936,0.31745,1.86192,1.30449,2.16782,0.0006833,0.0006833,0.0006833
135,4380.01,1.2628,0.97407,1.46314,0.74637,0.53988,0.65424,0.32902,1.90316,1.25785,2.21212,0.0006734,0.0006734,0.0006734
136,4412.32,1.21974,0.91683,1.38508,0.70694,0.59199,0.66998,0.33322,1.8516,1.27744,2.15432,0.0006635,0.0006635,0.0006635
