epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,2003.48,1.13547,0.83573,1.18496,0.69085,0.61963,0.64228,0.35312,1.78274,1.37236,1.67621,0.0007724,0.0007724,0.0007724
126,2019.53,1.09839,0.79429,1.16306,0.76638,0.58282,0.6518,0.3424,1.88595,1.24862,1.73442,0.0007625,0.0007625,0.0007625
127,2035.33,1.10178,0.8146,1.16915,0.74004,0.6135,0.64936,0.3511,1.72389,1.25677,1.62805,0.0007526,0.0007526,0.0007526
128,2051.35,1.10487,0.8193,1.16719,0.69829,0.63895,0.64058,0.34131,1.76096,1.29276,1.63586,0.0007427,0.0007427,0.0007427
129,2067.23,1.09756,0.80393,1.15707,0.70851,0.61963,0.63756,0.34184,1.78316,1.34631,1.68453,0.0007328,0.0007328,0.0007328
130,2083.3,1.07312,0.79199,1.15564,0.81245,0.58467,0.6442,0.33418,1.80653,1.33722,1.69681,0.0007229,0.0007229,0.0007229
131,2099.18,1.08417,0.80229,1.15242,0.72012,0.61561,0.64569,0.37503,1.69637,1.24008,1.60924,0.000713,0.000713,0.000713
132,2115.17,1.08939,0.80471,1.15521,0.70363,0.6319,0.63231,0.3494,1.77134,1.37931,1.68324,0.0007031,0.0007031,0.0007031
133,2131.02,1.03977,0.78455,1.13045,0.76612,0.56271,0.6352,0.34274,1.8153,1.41198,1.68078,0.0006932,0.0006932,0.0006932
134,2147.06,1.0929,0.7855,1.15674,0.75609,0.57055,0.60337,0.32445,1.83594,1.46723,1.71749,0.0006833,0.0006833,0.0006833
135,2162.91,1.04862,0.7831,1.13687,0.73487,0.62919,0.65926,0.34409,1.84571,1.31238,1.72023,0.0006734,0.0006734,0.0006734
136,2178.95,1.06794,0.75593,1.12821,0.74623,0.60736,0.65637,0.34979,1.72849,1.37232,1.63484,0.0006635,0.0006635,0.0006635
137,2194.88,1.02857,0.75926,1.10822,0.74741,0.57055,0.63366,0.34523,1.7869,1.39288,1.7031,0.0006536,0.0006536,0.0006536
138,2210.88,1.04165,0.76055,1.1076,0.72534,0.64417,0.64198,0.35633,1.73704,1.36505,1.65031,0.0006437,0.0006437,0.0006437
139,2226.78,1.05207,0.76812,1.12493,0.77916,0.64417,0.67863,0.36545,1.74834,1.23936,1.65367,0.0006338,0.0006338,0.0006338
140,2242.82,0.98831,0.71374,1.09062,0.72123,0.62577,0.64251,0.35647,1.75726,1.29185,1.66518,0.0006239,0.0006239,0.0006239
141,2258.85,1.01291,0.72162,1.12047,0.75749,0.55573,0.60774,0.32825,1.85091,1.29211,1.74753,0.000614,0.000614,0.000614
142,2274.84,1.03287,0.73293,1.11152,0.74212,0.59509,0.62385,0.35544,1.75365,1.30777,1.6834,0.0006041,0.0006041,0.0006041
143,2290.77,1.03543,0.74571,1.11809,0.77372,0.6319,0.66898,0.36759,1.69601,1.26385,1.64167,0.0005942,0.0005942,0.0005942
144,2306.82,1.01699,0.72893,1.09914,0.69435,0.6411,0.65094,0.35473,1.78368,1.33138,1.67281,0.0005843,0.0005843,0.0005843
145,2322.76,1.01652,0.73243,1.11276,0.79975,0.58805,0.67392,0.38086,1.71851,1.23545,1.65374,0.0005744,0.0005744,0.0005744
146,2338.77,0.98248,0.70082,1.09012,0.79468,0.58282,0.66075,0.35498,1.83155,1.2887,1.74241,0.0005645,0.0005645,0.0005645
147,2354.64,0.99657,0.70942,1.10091,0.71295,0.6095,0.65016,0.36235,1.77134,1.28646,1.69737,0.0005546,0.0005546,0.0005546
148,2370.54,1.02313,0.74515,1.11149,0.71771,0.58282,0.61276,0.34753,1.81212,1.36994,1.7425,0.0005447,0.0005447,0.0005447
149,2386.47,0.99897,0.71695,1.11186,0.7605,0.62577,0.65395,0.36023,1.78886,1.31816,1.73632,0.0005348,0.0005348,0.0005348
150,2402.48,1.02449,0.71095,1.12339,0.75474,0.62304,0.6653,0.35788,1.79584,1.29738,1.71164,0.0005249,0.0005249,0.0005249
151,2418.46,1.0332,0.75582,1.13781,0.79108,0.58282,0.65196,0.36581,1.82085,1.29914,1.75011,0.000515,0.000515,0.000515
152,2434.32,0.94823,0.67249,1.08959,0.7478,0.64417,0.66923,0.37322,1.76485,1.24307,1.71131,0.0005051,0.0005051,0.0005051
